Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13573130.0,condition-2,26.0,v3,visual,v3kk-hirahira.mp4,v3hh-pitari.mp4,v3kk-hirahira.mp4,"fluttering, dangling","tightly connected, no space in between","fluttering, dangling",v3hh-pitari.mp4,0,9312.200000095414
18.0,13573130.0,condition-2,27.0,a7,auditory,a7hh-dosidosi.mp4,a7kk-gisigisi.mp4,a7kk-gisigisi.mp4,"with a creak, squeak","tramping, stomping","with a creak, squeak",a7kk-gisigisi.mp4,1,9930.299999713898
18.0,13573130.0,condition-2,28.0,a2,auditory,a2hh-zyaazyaa.mp4,a2kk-potapota.mp4,a2hh-zyaazyaa.mp4,noisily gushing,noisily gushing,"dripping, trickling",a2hh-zyaazyaa.mp4,1,8925.000000095344
18.0,13573130.0,condition-2,29.0,a8,auditory,a8hh-bosori.mp4,a8kk-kyaakyaa.mp4,a8hh-bosori.mp4,"in a whisper, in a murmur","shrieking, squealing","in a whisper, in a murmur",a8kk-kyaakyaa.mp4,0,14541.699999809263
18.0,13573130.0,condition-2,30.0,v1,visual,v1kk-gizagiza.mp4,v1hh-kurikuri.mp4,v1kk-gizagiza.mp4,"jagged, serrated","jagged, serrated",big and round,v1hh-kurikuri.mp4,0,12111.80000009539
18.0,13573434.0,condition-3,1.0,a6,auditory,a6hk-dosari.mp4,a6kh-katitto.mp4,a6hk-dosari.mp4,with a thud,with a thud,"click, snap",a6hk-dosari.mp4,1,31593.79999999999
18.0,13573434.0,condition-3,2.0,i5,interoceptive,i5kh-harahara.mp4,i5hk-nobinobi.mp4,i5kh-harahara.mp4,"anxious, nervous","anxious, nervous","comfortable, peaceful",i5kh-harahara.mp4,1,10284.040000000008
18.0,13573434.0,condition-3,3.0,i9,interoceptive,i9kh-dokidoki.mp4,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,with a rapid heartbeat,"comfortable, calm, relaxed",i9hk-yuttari.mp4,0,9571.380000000005
18.0,13573434.0,condition-3,4.0,v9,visual,v9kh-bosabosa.mp4,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,"ruffled, disheveled","billowing, plump","ruffled, disheveled",v9kh-bosabosa.mp4,1,83000.23999999999
18.0,13573434.0,condition-3,5.0,v2,visual,v2kh-kirakira.mp4,v2hk-doNyori.mp4,v2hk-doNyori.mp4,"dark, gloomy","dark, gloomy","glittering, sparkling",v2hk-doNyori.mp4,1,14485.119999999995
18.0,13573434.0,condition-3,6.0,v1,visual,v1hk-kurikuri.mp4,v1kh-gizagiza.mp4,v1kh-gizagiza.mp4,"jagged, serrated","jagged, serrated",big and round,v1kh-gizagiza.mp4,1,24361.53999999998
18.0,13573434.0,condition-3,7.0,i4,interoceptive,i4hk-tyaNto.mp4,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude","flurried, nervous","attentive, proper attitude",i4kh-dogimagi.mp4,0,19518.400000000023
18.0,13573434.0,condition-3,8.0,v8,visual,v8kh-garigari.mp4,v8hk-marumaru.mp4,v8hk-marumaru.mp4,"plump, rotund, chubby","very skinny, emaciated","plump, rotund, chubby",v8hk-marumaru.mp4,1,9953.97999999998
18.0,13573434.0,condition-3,9.0,v4,visual,v4kh-barabara.mp4,v4hk-bissiri.mp4,v4hk-bissiri.mp4,"closely lined up, densely","closely lined up, densely","scattered, in pieces",v4kh-barabara.mp4,0,21205.119999999995
18.0,13573434.0,condition-3,10.0,v3,visual,v3kh-hirahira.mp4,v3hk-pitari.mp4,v3kh-hirahira.mp4,"fluttering, dangling","tightly connected, no space in between","fluttering, dangling",v3kh-hirahira.mp4,1,34789.859999999986
18.0,13573434.0,condition-3,11.0,i2,interoceptive,i2hk-syoboN.mp4,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,"downhearted, dejected","downhearted, dejected","happy, elated, euphoric",i2kh-ruNruN.mp4,0,22553.23999999999
18.0,13573434.0,condition-3,12.0,a3,auditory,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,a3kh-syakisyaki.mp4,"crisp, crunchy","crisp, crunchy","sizzling, oozing",a3kh-syakisyaki.mp4,1,20446.9200000001
18.0,13573434.0,condition-3,13.0,i3,interoceptive,i3kh-iraira.mp4,i3hk-sukkiri.mp4,i3kh-iraira.mp4,"to get irritated, annoyed","to get irritated, annoyed","refreshingly, with a feeling fo relief",i3kh-iraira.mp4,1,31550.73999999999
18.0,13573434.0,condition-3,14.0,i7,interoceptive,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly","shivering, feeling chilly","feeling warm and fluffy, soft",i7kh-zokuzoku.mp4,1,24829.400000000023
18.0,13573434.0,condition-3,15.0,a1,auditory,a1kh-batyabatya.mp4,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,splashing,splashing,drizzling,a1kh-batyabatya.mp4,1,11374.800000000048
18.0,13573434.0,condition-3,16.0,a9,auditory,a9hk-mogomogo.mp4,a9kh-sakutto.mp4,a9kh-sakutto.mp4,with a crunch,with a crunch,"mumbling, chewing",a9kh-sakutto.mp4,1,24991.57999999996
18.0,13573434.0,condition-3,17.0,i8,interoceptive,i8kh-dokiri.mp4,i8hk-hotto.mp4,i8hk-hotto.mp4,with a feeling of relief,with a feeling of relief,"being startled, getting a shock",i8hk-hotto.mp4,1,46547.33999999997
18.0,13573434.0,condition-3,18.0,a8,auditory,a8hk-bosori.mp4,a8kh-kyaakyaa.mp4,a8hk-bosori.mp4,"in a whisper, in a murmur","in a whisper, in a murmur","shrieking, squealing",a8hk-bosori.mp4,1,26660.380000000005
18.0,13573434.0,condition-3,19.0,i0,interoceptive,i0hk-uNzari.mp4,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with","boredom, tedious, fed up with","excitement, nervous",i0hk-uNzari.mp4,1,11439.880000000005
18.0,13573434.0,condition-3,20.0,i6,interoceptive,i6hk-noNbiri.mp4,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner","at leisure, in a relaxed manner","just barely, at the last moment",i6hk-noNbiri.mp4,1,21998.019999999902
18.0,13573434.0,condition-3,21.0,v6,visual,v6hk-huNwari.mp4,v6kh-gotugotu.mp4,v6hk-huNwari.mp4,"gently, airily, fluffy","gently, airily, fluffy","rugged, scragged, angular",v6hk-huNwari.mp4,1,35539.57999999996
18.0,13573434.0,condition-3,22.0,v5,visual,v5kh-nikoniko.mp4,v5hk-busuri.mp4,v5kh-nikoniko.mp4,"smilingly, with a grin","smilingly, with a grin","poutingly, displeasure",v5kh-nikoniko.mp4,1,26484.61999999988
18.0,13573434.0,condition-3,23.0,a0,auditory,a0kh-katakata.mp4,a0hk-gosogoso.mp4,a0hk-gosogoso.mp4,with a rustling sound,"clattering, rattling",with a rustling sound,a0kh-katakata.mp4,0,21977.52000000002
18.0,13573434.0,condition-3,24.0,v7,visual,v7kh-kiritto.mp4,v7hk-boNyari.mp4,v7kh-kiritto.mp4,"crisp appearance, stiffly","dim, faint, indistinct","crisp appearance, stiffly",v7kh-kiritto.mp4,1,24789.47999999998
18.0,13573434.0,condition-3,25.0,v0,visual,v0hk-kukkiri.mp4,v0kh-tiratira.mp4,v0hk-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0hk-kukkiri.mp4,1,38167.93999999994
18.0,13573434.0,condition-3,26.0,a2,auditory,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,a2hk-zyaazyaa.mp4,noisily gushing,noisily gushing,"dripping, trickling",a2kh-potapota.mp4,0,37156.81999999995
18.0,13573434.0,condition-3,27.0,a7,auditory,a7kh-gisigisi.mp4,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak","with a creak, squeak","tramping, stomping",a7kh-gisigisi.mp4,1,29024.160000000036
18.0,13573434.0,condition-3,28.0,a4,auditory,a4kh-poripori.mp4,a4hk-zuruzuru.mp4,a4hk-zuruzuru.mp4,with a slurp,"munching, crunching",with a slurp,a4hk-zuruzuru.mp4,1,14003.819999999949
18.0,13573434.0,condition-3,29.0,a5,auditory,a5kh-dotabata.mp4,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,"noisily, with heavy feet",slowly and quietly,"noisily, with heavy feet",a5hk-sororisorori.mp4,0,10806.640000000014
18.0,13573434.0,condition-3,30.0,i1,interoceptive,i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"ravenously, greedily","weary, fed up, dejected","ravenously, greedily",i1kh-gatugatu.mp4,1,20629.880000000005
19.0,13605274.0,condition-2,1.0,i3,interoceptive,i3hh-sukkiri.mp4,i3kk-iraira.mp4,i3kk-iraira.mp4,"to get irritated, annoyed","to get irritated, annoyed","refreshingly, with a feeling fo relief",i3kk-iraira.mp4,1,8875.499999997017
19.0,13605274.0,condition-2,2.0,v3,visual,v3kk-hirahira.mp4,v3hh-pitari.mp4,v3kk-hirahira.mp4,"fluttering, dangling","fluttering, dangling","tightly connected, no space in between",v3kk-hirahira.mp4,1,15380.799999998504
19.0,13605274.0,condition-2,3.0,v5,visual,v5hh-busuri.mp4,v5kk-nikoniko.mp4,v5kk-nikoniko.mp4,"smilingly, with a grin","smilingly, with a grin","poutingly, displeasure",v5kk-nikoniko.mp4,1,9122.199999997014
19.0,13605274.0,condition-2,4.0,a9,auditory,a9kk-sakutto.mp4,a9hh-mogomogo.mp4,a9kk-sakutto.mp4,with a crunch,with a crunch,"mumbling, chewing",a9kk-sakutto.mp4,1,12505.799999995535
19.0,13605274.0,condition-2,5.0,i1,interoceptive,i1kk-gatugatu.mp4,i1hh-geNnari.mp4,i1kk-gatugatu.mp4,"ravenously, greedily","ravenously, greedily","weary, fed up, dejected",i1kk-gatugatu.mp4,1,16499.100000000006
19.0,13605274.0,condition-2,6.0,a3,auditory,a3kk-syakisyaki.mp4,a3hh-ziriziri.mp4,a3kk-syakisyaki.mp4,"crisp, crunchy","sizzling, oozing","crisp, crunchy",a3kk-syakisyaki.mp4,1,11440.299999995535
19.0,13605274.0,condition-2,7.0,i6,interoceptive,i6kk-girigiri.mp4,i6hh-noNbiri.mp4,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner","just barely, at the last moment","at leisure, in a relaxed manner",i6kk-girigiri.mp4,0,11132.899999999994
19.0,13605274.0,condition-2,8.0,v2,visual,v2kk-kirakira.mp4,v2hh-doNyori.mp4,v2hh-doNyori.mp4,"dark, gloomy","glittering, sparkling","dark, gloomy",v2hh-doNyori.mp4,1,8417.399999997026
19.0,13605274.0,condition-2,9.0,i5,interoceptive,i5kk-harahara.mp4,i5hh-nobinobi.mp4,i5kk-harahara.mp4,"anxious, nervous","comfortable, peaceful","anxious, nervous",i5hh-nobinobi.mp4,0,15806.899999999994
19.0,13605274.0,condition-2,10.0,v9,visual,v9hh-mukumuku.mp4,v9kk-bosabosa.mp4,v9kk-bosabosa.mp4,"ruffled, disheveled","billowing, plump","ruffled, disheveled",v9hh-mukumuku.mp4,0,8507.500000001484
19.0,13605274.0,condition-2,11.0,a4,auditory,a4hh-zuruzuru.mp4,a4kk-poripori.mp4,a4hh-zuruzuru.mp4,with a slurp,"munching, crunching",with a slurp,a4hh-zuruzuru.mp4,1,9224.000000001484
19.0,13605274.0,condition-2,12.0,a2,auditory,a2kk-potapota.mp4,a2hh-zyaazyaa.mp4,a2hh-zyaazyaa.mp4,noisily gushing,noisily gushing,"dripping, trickling",a2hh-zyaazyaa.mp4,1,9261.700000000012
19.0,13605274.0,condition-2,13.0,i4,interoceptive,i4hh-tyaNto.mp4,i4kk-dogimagi.mp4,i4hh-tyaNto.mp4,"attentive, proper attitude","flurried, nervous","attentive, proper attitude",i4hh-tyaNto.mp4,1,9286.79999999702
19.0,13605274.0,condition-2,14.0,a5,auditory,a5hh-sororisorori.mp4,a5kk-dotabata.mp4,a5kk-dotabata.mp4,"noisily, with heavy feet","noisily, with heavy feet",slowly and quietly,a5kk-dotabata.mp4,1,10149.799999999988
19.0,13605274.0,condition-2,15.0,a7,auditory,a7hh-dosidosi.mp4,a7kk-gisigisi.mp4,a7kk-gisigisi.mp4,"with a creak, squeak","tramping, stomping","with a creak, squeak",a7kk-gisigisi.mp4,1,12314.900000001478
19.0,13605274.0,condition-2,16.0,v8,visual,v8kk-garigari.mp4,v8hh-marumaru.mp4,v8hh-marumaru.mp4,"plump, rotund, chubby","plump, rotund, chubby","very skinny, emaciated",v8hh-marumaru.mp4,1,19576.60000000149
19.0,13605274.0,condition-2,17.0,v4,visual,v4hh-bissiri.mp4,v4kk-barabara.mp4,v4hh-bissiri.mp4,"closely lined up, densely","scattered, in pieces","closely lined up, densely",v4hh-bissiri.mp4,1,13305.899999996996
19.0,13605274.0,condition-2,18.0,i9,interoceptive,i9kk-dokidoki.mp4,i9hh-yuttari.mp4,i9kk-dokidoki.mp4,with a rapid heartbeat,"comfortable, calm, relaxed",with a rapid heartbeat,i9kk-dokidoki.mp4,1,11953.999999998488
19.0,13605274.0,condition-2,19.0,a0,auditory,a0kk-katakata.mp4,a0hh-gosogoso.mp4,a0hh-gosogoso.mp4,with a rustling sound,with a rustling sound,"clattering, rattling",a0hh-gosogoso.mp4,1,12921.599999999977
19.0,13605274.0,condition-2,20.0,v0,visual,v0kk-tiratira.mp4,v0hh-kukkiri.mp4,v0hh-kukkiri.mp4,"clearly, distinctly, sharply","clearly, distinctly, sharply","flickering, fluttering",v0hh-kukkiri.mp4,1,8609.000000001513
19.0,13605274.0,condition-2,21.0,a6,auditory,a6kk-katitto.mp4,a6hh-dosari.mp4,a6hh-dosari.mp4,with a thud,with a thud,"click, snap",a6kk-katitto.mp4,0,12334.799999998531
19.0,13605274.0,condition-2,22.0,v7,visual,v7kk-kiritto.mp4,v7hh-boNyari.mp4,v7kk-kiritto.mp4,"crisp appearance, stiffly","dim, faint, indistinct","crisp appearance, stiffly",v7hh-boNyari.mp4,0,10178.89999999554
19.0,13605274.0,condition-2,23.0,v1,visual,v1kk-gizagiza.mp4,v1hh-kurikuri.mp4,v1kk-gizagiza.mp4,"jagged, serrated",big and round,"jagged, serrated",v1hh-kurikuri.mp4,0,15688.700000000012
19.0,13605274.0,condition-2,24.0,i7,interoceptive,i7hh-hokkori.mp4,i7kk-zokuzoku.mp4,i7kk-zokuzoku.mp4,"shivering, feeling chilly","feeling warm and fluffy, soft","shivering, feeling chilly",i7kk-zokuzoku.mp4,1,14421.400000000023
19.0,13605274.0,condition-2,25.0,a1,auditory,a1hh-sitosito.mp4,a1kk-batyabatya.mp4,a1kk-batyabatya.mp4,splashing,drizzling,splashing,a1hh-sitosito.mp4,0,15637.199999997045
19.0,13605274.0,condition-2,26.0,i0,interoceptive,i0kk-wakuwaku.mp4,i0hh-uNzari.mp4,i0hh-uNzari.mp4,"boredom, tedious, fed up with","boredom, tedious, fed up with","excitement, nervous",i0hh-uNzari.mp4,1,13025.29999999702
19.0,13605274.0,condition-2,27.0,i8,interoceptive,i8kk-dokiri.mp4,i8hh-hotto.mp4,i8hh-hotto.mp4,with a feeling of relief,with a feeling of relief,"being startled, getting a shock",i8hh-hotto.mp4,1,18074.400000000023
19.0,13605274.0,condition-2,28.0,a8,auditory,a8hh-bosori.mp4,a8kk-kyaakyaa.mp4,a8hh-bosori.mp4,"in a whisper, in a murmur","shrieking, squealing","in a whisper, in a murmur",a8hh-bosori.mp4,1,13651.200000000012
19.0,13605274.0,condition-2,29.0,i2,interoceptive,i2kk-ruNruN.mp4,i2hh-syoboN.mp4,i2hh-syoboN.mp4,"downhearted, dejected","happy, elated, euphoric","downhearted, dejected",i2hh-syoboN.mp4,1,8808.099999999977
19.0,13605274.0,condition-2,30.0,v6,visual,v6hh-huNwari.mp4,v6kk-gotugotu.mp4,v6hh-huNwari.mp4,"gently, airily, fluffy","rugged, scragged, angular","gently, airily, fluffy",v6kk-gotugotu.mp4,0,8204.099999997008
19.0,13607740.0,condition-3,1.0,a4,auditory,a4kh-poripori.mp4,a4hk-zuruzuru.mp4,a4hk-zuruzuru.mp4,with a slurp,with a slurp,"munching, crunching",a4kh-poripori.mp4,0,17256.0
19.0,13607740.0,condition-3,2.0,i0,interoceptive,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with","boredom, tedious, fed up with","excitement, nervous",i0kh-wakuwaku.mp4,0,14174.0
19.0,13607740.0,condition-3,3.0,a7,auditory,a7kh-gisigisi.mp4,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak","with a creak, squeak","tramping, stomping",a7kh-gisigisi.mp4,1,60292.0
19.0,13607740.0,condition-3,4.0,v4,visual,v4hk-bissiri.mp4,v4kh-barabara.mp4,v4hk-bissiri.mp4,"closely lined up, densely","closely lined up, densely","scattered, in pieces",v4kh-barabara.mp4,0,21610.0
19.0,13607740.0,condition-3,5.0,i6,interoceptive,i6hk-noNbiri.mp4,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner","just barely, at the last moment","at leisure, in a relaxed manner",i6hk-noNbiri.mp4,1,15674.0
19.0,13607740.0,condition-3,6.0,v1,visual,v1kh-gizagiza.mp4,v1hk-kurikuri.mp4,v1kh-gizagiza.mp4,"jagged, serrated",big and round,"jagged, serrated",v1kh-gizagiza.mp4,1,21059.0
19.0,13607740.0,condition-3,7.0,v8,visual,v8kh-garigari.mp4,v8hk-marumaru.mp4,v8hk-marumaru.mp4,"plump, rotund, chubby","plump, rotund, chubby","very skinny, emaciated",v8kh-garigari.mp4,0,12637.0
19.0,13607740.0,condition-3,8.0,a2,auditory,a2hk-zyaazyaa.mp4,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,noisily gushing,noisily gushing,"dripping, trickling",a2kh-potapota.mp4,0,53039.0
19.0,13607740.0,condition-3,9.0,v9,visual,v9kh-bosabosa.mp4,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,"ruffled, disheveled","billowing, plump","ruffled, disheveled",v9kh-bosabosa.mp4,1,21960.0
19.0,13607740.0,condition-3,10.0,a0,auditory,a0kh-katakata.mp4,a0hk-gosogoso.mp4,a0hk-gosogoso.mp4,with a rustling sound,with a rustling sound,"clattering, rattling",a0hk-gosogoso.mp4,1,22010.0
19.0,13607740.0,condition-3,11.0,v3,visual,v3hk-pitari.mp4,v3kh-hirahira.mp4,v3kh-hirahira.mp4,"fluttering, dangling","fluttering, dangling","tightly connected, no space in between",v3kh-hirahira.mp4,1,29846.0
19.0,13607740.0,condition-3,12.0,i3,interoceptive,i3hk-sukkiri.mp4,i3kh-iraira.mp4,i3kh-iraira.mp4,"to get irritated, annoyed","to get irritated, annoyed","refreshingly, with a feeling fo relief",i3kh-iraira.mp4,1,9338.0
19.0,13607740.0,condition-3,13.0,a5,auditory,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,a5kh-dotabata.mp4,"noisily, with heavy feet","noisily, with heavy feet",slowly and quietly,a5hk-sororisorori.mp4,0,20975.0
19.0,13607740.0,condition-3,14.0,a9,auditory,a9hk-mogomogo.mp4,a9kh-sakutto.mp4,a9kh-sakutto.mp4,with a crunch,"mumbling, chewing",with a crunch,a9kh-sakutto.mp4,1,8737.0
19.0,13607740.0,condition-3,15.0,i1,interoceptive,i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"ravenously, greedily","weary, fed up, dejected","ravenously, greedily",i1kh-gatugatu.mp4,1,19225.0
19.0,13607740.0,condition-3,16.0,i2,interoceptive,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,i2hk-syoboN.mp4,"downhearted, dejected","downhearted, dejected","happy, elated, euphoric",i2kh-ruNruN.mp4,0,11848.0
19.0,13607740.0,condition-3,17.0,v6,visual,v6hk-huNwari.mp4,v6kh-gotugotu.mp4,v6hk-huNwari.mp4,"gently, airily, fluffy","rugged, scragged, angular","gently, airily, fluffy",v6kh-gotugotu.mp4,0,29739.0
19.0,13607740.0,condition-3,18.0,a1,auditory,a1kh-batyabatya.mp4,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,splashing,splashing,drizzling,a1hk-sitosito.mp4,0,36968.0
19.0,13607740.0,condition-3,19.0,a3,auditory,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,a3kh-syakisyaki.mp4,"crisp, crunchy","crisp, crunchy","sizzling, oozing",a3kh-syakisyaki.mp4,1,10236.0
19.0,13607740.0,condition-3,20.0,v0,visual,v0hk-kukkiri.mp4,v0kh-tiratira.mp4,v0hk-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0kh-tiratira.mp4,0,15040.0
19.0,13607740.0,condition-3,21.0,i5,interoceptive,i5hk-nobinobi.mp4,i5kh-harahara.mp4,i5kh-harahara.mp4,"anxious, nervous","comfortable, peaceful","anxious, nervous",i5kh-harahara.mp4,1,8053.0
19.0,13607740.0,condition-3,22.0,i8,interoceptive,i8kh-dokiri.mp4,i8hk-hotto.mp4,i8hk-hotto.mp4,with a feeling of relief,with a feeling of relief,"being startled, getting a shock",i8hk-hotto.mp4,1,10476.0
19.0,13607740.0,condition-3,23.0,v7,visual,v7kh-kiritto.mp4,v7hk-boNyari.mp4,v7kh-kiritto.mp4,"crisp appearance, stiffly","crisp appearance, stiffly","dim, faint, indistinct",v7kh-kiritto.mp4,1,21575.0
19.0,13607740.0,condition-3,24.0,i4,interoceptive,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude","attentive, proper attitude","flurried, nervous",i4hk-tyaNto.mp4,1,18323.0
19.0,13607740.0,condition-3,25.0,a6,auditory,a6kh-katitto.mp4,a6hk-dosari.mp4,a6hk-dosari.mp4,with a thud,"click, snap",with a thud,a6hk-dosari.mp4,1,34630.0
19.0,13607740.0,condition-3,26.0,i9,interoceptive,i9kh-dokidoki.mp4,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,"comfortable, calm, relaxed",with a rapid heartbeat,i9kh-dokidoki.mp4,1,19757.0
19.0,13607740.0,condition-3,27.0,v2,visual,v2hk-doNyori.mp4,v2kh-kirakira.mp4,v2hk-doNyori.mp4,"dark, gloomy","glittering, sparkling","dark, gloomy",v2hk-doNyori.mp4,1,14623.0
19.0,13607740.0,condition-3,28.0,a8,auditory,a8kh-kyaakyaa.mp4,a8hk-bosori.mp4,a8hk-bosori.mp4,"in a whisper, in a murmur","in a whisper, in a murmur","shrieking, squealing",a8kh-kyaakyaa.mp4,0,10655.0
19.0,13607740.0,condition-3,29.0,i7,interoceptive,i7kh-zokuzoku.mp4,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly","shivering, feeling chilly","feeling warm and fluffy, soft",i7kh-zokuzoku.mp4,1,19008.0
19.0,13607740.0,condition-3,30.0,v5,visual,v5hk-busuri.mp4,v5kh-nikoniko.mp4,v5kh-nikoniko.mp4,"smilingly, with a grin","smilingly, with a grin","poutingly, displeasure",v5kh-nikoniko.mp4,1,23660.0
19.0,13608280.0,condition-3,1.0,i6,interoceptive,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner","at leisure, in a relaxed manner","just barely, at the last moment",i6kh-girigiri.mp4,0,16289.200000047684
19.0,13608280.0,condition-3,2.0,v8,visual,v8kh-garigari.mp4,v8hk-marumaru.mp4,v8hk-marumaru.mp4,"plump, rotund, chubby","plump, rotund, chubby","very skinny, emaciated",v8kh-garigari.mp4,0,123961.90000002384
19.0,13608280.0,condition-3,3.0,i7,interoceptive,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly","shivering, feeling chilly","feeling warm and fluffy, soft",i7kh-zokuzoku.mp4,1,9178.200000000012
19.0,13608280.0,condition-3,4.0,v0,visual,v0hk-kukkiri.mp4,v0kh-tiratira.mp4,v0hk-kukkiri.mp4,"clearly, distinctly, sharply","flickering, fluttering","clearly, distinctly, sharply",v0hk-kukkiri.mp4,1,26405.900000000023
19.0,13608280.0,condition-3,5.0,v2,visual,v2kh-kirakira.mp4,v2hk-doNyori.mp4,v2hk-doNyori.mp4,"dark, gloomy","glittering, sparkling","dark, gloomy",v2kh-kirakira.mp4,0,22817.40000004769
19.0,13608280.0,condition-3,6.0,i4,interoceptive,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude","attentive, proper attitude","flurried, nervous",i4hk-tyaNto.mp4,1,17999.00000000006
19.0,13608280.0,condition-3,7.0,a2,auditory,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,a2hk-zyaazyaa.mp4,noisily gushing,"dripping, trickling",noisily gushing,a2hk-zyaazyaa.mp4,1,15401.000000047672
19.0,13608280.0,condition-3,8.0,v3,visual,v3hk-pitari.mp4,v3kh-hirahira.mp4,v3kh-hirahira.mp4,"fluttering, dangling","fluttering, dangling","tightly connected, no space in between",v3kh-hirahira.mp4,1,32075.000000071537
19.0,13608280.0,condition-3,9.0,a6,auditory,a6kh-katitto.mp4,a6hk-dosari.mp4,a6hk-dosari.mp4,with a thud,with a thud,"click, snap",a6hk-dosari.mp4,1,23053.000000071537
19.0,13608280.0,condition-3,10.0,a3,auditory,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,a3kh-syakisyaki.mp4,"crisp, crunchy","sizzling, oozing","crisp, crunchy",a3kh-syakisyaki.mp4,1,21621.70000000001
19.0,13608280.0,condition-3,11.0,i5,interoceptive,i5kh-harahara.mp4,i5hk-nobinobi.mp4,i5kh-harahara.mp4,"anxious, nervous","comfortable, peaceful","anxious, nervous",i5kh-harahara.mp4,1,19413.20000000001
19.0,13608280.0,condition-3,12.0,i3,interoceptive,i3kh-iraira.mp4,i3hk-sukkiri.mp4,i3kh-iraira.mp4,"to get irritated, annoyed","to get irritated, annoyed","refreshingly, with a feeling fo relief",i3hk-sukkiri.mp4,0,18291.800000023853
19.0,13608280.0,condition-3,13.0,v5,visual,v5hk-busuri.mp4,v5kh-nikoniko.mp4,v5kh-nikoniko.mp4,"smilingly, with a grin","poutingly, displeasure","smilingly, with a grin",v5kh-nikoniko.mp4,1,10789.000000000058
19.0,13608280.0,condition-3,14.0,i2,interoceptive,i2hk-syoboN.mp4,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,"downhearted, dejected","downhearted, dejected","happy, elated, euphoric",i2kh-ruNruN.mp4,0,10453.399999976158
19.0,13608280.0,condition-3,15.0,a8,auditory,a8kh-kyaakyaa.mp4,a8hk-bosori.mp4,a8hk-bosori.mp4,"in a whisper, in a murmur","in a whisper, in a murmur","shrieking, squealing",a8kh-kyaakyaa.mp4,0,13220.799999999988
19.0,13608280.0,condition-3,16.0,a5,auditory,a5kh-dotabata.mp4,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,"noisily, with heavy feet",slowly and quietly,"noisily, with heavy feet",a5hk-sororisorori.mp4,0,9689.900000047695
19.0,13608280.0,condition-3,17.0,a7,auditory,a7kh-gisigisi.mp4,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak","tramping, stomping","with a creak, squeak",a7hk-dosidosi.mp4,0,18814.50000000006
