Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: rated-word,Spreadsheet: rated-meaning,rating,Reaction Time
18.0,13328943.0,condition-2,15.0,a1,auditory,a1kk-batyabatya.mp4,splashing,6,6745.399999999616
18.0,13328943.0,condition-2,16.0,a0,auditory,a0hh-gosogoso.mp4,with a rustling sound,5,5976.199999999837
18.0,13328943.0,condition-2,17.0,a7,auditory,a7kk-gisigisi.mp4,"with a creak, squeak",6,20462.39999999973
18.0,13328943.0,condition-2,18.0,v2,visual,v2hh-doNyori.mp4,"dark, gloomy",4,6033.799999999988
18.0,13328943.0,condition-2,19.0,a9,auditory,a9kk-sakutto.mp4,with a crunch,6,4963.199999999604
18.0,13328943.0,condition-2,20.0,i3,interoceptive,i3kk-iraira.mp4,"to get irritated, annoyed",5,4965.999999999825
18.0,13328943.0,condition-2,21.0,v1,visual,v1kk-gizagiza.mp4,"jagged, serrated",6,8140.599999999802
18.0,13328943.0,condition-2,22.0,i2,interoceptive,i2hh-syoboN.mp4,"downhearted, dejected",6,6088.999999999825
18.0,13328943.0,condition-2,23.0,i7,interoceptive,i7kk-zokuzoku.mp4,"shivering, feeling chilly",5,5564.400000000023
18.0,13328943.0,condition-2,24.0,i9,interoceptive,i9kk-dokidoki.mp4,with a rapid heartbeat,6,5150.70000000007
18.0,13328943.0,condition-2,25.0,a6,auditory,a6hh-dosari.mp4,with a thud,5,16346.29999999964
18.0,13328943.0,condition-2,26.0,a5,auditory,a5kk-dotabata.mp4,"noisily, with heavy feet",5,6055.099999999744
18.0,13328943.0,condition-2,27.0,v0,visual,v0hh-kukkiri.mp4,"clearly, distinctly, sharply",5,5377.699999999895
18.0,13328943.0,condition-2,28.0,v7,visual,v7kk-kiritto.mp4,"crisp appearance, stiffly",5,6742.799999999988
18.0,13328943.0,condition-2,29.0,i6,interoceptive,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner",5,6850.799999999988
18.0,13328943.0,condition-2,30.0,a8,auditory,a8hh-bosori.mp4,"in a whisper, in a murmur",2,5204.899999999907
18.0,13344171.0,condition-3,1.0,v8,visual,v8hk-marumaru.mp4,"plump, rotund, chubby",2,5681.199999988079
18.0,13344171.0,condition-3,2.0,i3,interoceptive,i3kh-iraira.mp4,"to get irritated, annoyed",4,5362.699999988079
18.0,13344171.0,condition-3,3.0,v1,visual,v1kh-gizagiza.mp4,"jagged, serrated",5,5760.999999976164
18.0,13344171.0,condition-3,4.0,a7,auditory,a7kh-gisigisi.mp4,"with a creak, squeak",5,5633.299999999988
18.0,13344171.0,condition-3,5.0,i1,interoceptive,i1kh-gatugatu.mp4,"ravenously, greedily",5,5592.999999988082
18.0,13344171.0,condition-3,6.0,a1,auditory,a1kh-batyabatya.mp4,splashing,5,6755.900000023845
18.0,13344171.0,condition-3,7.0,i2,interoceptive,i2hk-syoboN.mp4,"downhearted, dejected",6,6283.700000000012
18.0,13344171.0,condition-3,8.0,a4,auditory,a4hk-zuruzuru.mp4,with a slurp,4,6747.200000023848
18.0,13344171.0,condition-3,9.0,a0,auditory,a0hk-gosogoso.mp4,with a rustling sound,6,5381.5
18.0,13344171.0,condition-3,10.0,v5,visual,v5kh-nikoniko.mp4,"smilingly, with a grin",4,5250.000000000015
18.0,13344171.0,condition-3,11.0,a6,auditory,a6hk-dosari.mp4,with a thud,3,5541.899999999994
18.0,13344171.0,condition-3,12.0,a3,auditory,a3kh-syakisyaki.mp4,"crisp, crunchy",3,19874.90000002383
18.0,13344171.0,condition-3,13.0,v0,visual,v0hk-kukkiri.mp4,"clearly, distinctly, sharply",6,6066.200000000012
18.0,13344171.0,condition-3,14.0,v7,visual,v7kh-kiritto.mp4,"crisp appearance, stiffly",5,7449.399999988091
18.0,13344171.0,condition-3,15.0,a8,auditory,a8hk-bosori.mp4,"in a whisper, in a murmur",5,6597.600000011909
18.0,13344171.0,condition-3,16.0,v6,visual,v6hk-huNwari.mp4,"gently, airily, fluffy",5,6100.000000000029
18.0,13344171.0,condition-3,17.0,a2,auditory,a2hk-zyaazyaa.mp4,noisily gushing,4,6508.200000011915
18.0,13344171.0,condition-3,18.0,i0,interoceptive,i0hk-uNzari.mp4,"boredom, tedious, fed up with",5,7612.499999976164
18.0,13344171.0,condition-3,19.0,v9,visual,v9kh-bosabosa.mp4,"ruffled, disheveled",2,6282.100000023842
18.0,13344171.0,condition-3,20.0,i4,interoceptive,i4hk-tyaNto.mp4,"attentive, proper attitude",7,5799.600000000006
18.0,13344171.0,condition-3,21.0,a9,auditory,a9kh-sakutto.mp4,with a crunch,6,6135.299999999988
18.0,13344171.0,condition-3,22.0,i5,interoceptive,i5kh-harahara.mp4,"anxious, nervous",3,5607.900000011927
18.0,13344171.0,condition-3,23.0,v3,visual,v3kh-hirahira.mp4,"fluttering, dangling",3,5714.299999999988
18.0,13344171.0,condition-3,24.0,i6,interoceptive,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner",5,6904.499999988067
18.0,13344171.0,condition-3,25.0,v2,visual,v2hk-doNyori.mp4,"dark, gloomy",6,6066.699999999953
18.0,13344171.0,condition-3,26.0,i7,interoceptive,i7kh-zokuzoku.mp4,"shivering, feeling chilly",5,5366.099999999977
18.0,13344171.0,condition-3,27.0,i9,interoceptive,i9kh-dokidoki.mp4,with a rapid heartbeat,6,5314.40000002383
18.0,13344171.0,condition-3,28.0,v4,visual,v4hk-bissiri.mp4,"closely lined up, densely",4,6156.000000011933
18.0,13344171.0,condition-3,29.0,i8,interoceptive,i8hk-hotto.mp4,with a feeling of relief,5,5428.299999999988
18.0,13344171.0,condition-3,30.0,a5,auditory,a5kh-dotabata.mp4,"noisily, with heavy feet",7,5747.299999976181
18.0,13349143.0,condition-2,1.0,i3,interoceptive,i3kk-iraira.mp4,"to get irritated, annoyed",7,5303.399999999994
18.0,13349143.0,condition-2,2.0,a4,auditory,a4hh-zuruzuru.mp4,with a slurp,7,4937.740000000005
18.0,13349143.0,condition-2,3.0,v2,visual,v2hh-doNyori.mp4,"dark, gloomy",4,7206.779999999999
18.0,13349143.0,condition-2,4.0,v3,visual,v3kk-hirahira.mp4,"fluttering, dangling",1,5071.139999999999
18.0,13349143.0,condition-2,5.0,v1,visual,v1kk-gizagiza.mp4,"jagged, serrated",1,13506.919999999998
18.0,13349143.0,condition-2,6.0,a2,auditory,a2hh-zyaazyaa.mp4,noisily gushing,7,4975.179999999993
18.0,13349143.0,condition-2,7.0,v0,visual,v0hh-kukkiri.mp4,"clearly, distinctly, sharply",7,7621.880000000005
18.0,13349143.0,condition-2,8.0,v4,visual,v4hh-bissiri.mp4,"closely lined up, densely",4,8090.559999999998
18.0,13349143.0,condition-2,9.0,i1,interoceptive,i1kk-gatugatu.mp4,"ravenously, greedily",7,11122.600000000006
18.0,13349143.0,condition-2,10.0,i9,interoceptive,i9kk-dokidoki.mp4,with a rapid heartbeat,7,5553.279999999999
18.0,13349143.0,condition-2,11.0,i4,interoceptive,i4hh-tyaNto.mp4,"attentive, proper attitude",7,4871.760000000009
18.0,13349143.0,condition-2,12.0,i2,interoceptive,i2hh-syoboN.mp4,"downhearted, dejected",7,5323.320000000007
18.0,13349143.0,condition-2,13.0,a9,auditory,a9kk-sakutto.mp4,with a crunch,4,8080.0
18.0,13349143.0,condition-2,14.0,v5,visual,v5kk-nikoniko.mp4,"smilingly, with a grin",7,5139.420000000013
18.0,13349143.0,condition-2,15.0,a8,auditory,a8hh-bosori.mp4,"in a whisper, in a murmur",1,5054.720000000001
18.0,13349143.0,condition-2,16.0,i8,interoceptive,i8hh-hotto.mp4,with a feeling of relief,7,5090.059999999998
18.0,13349143.0,condition-2,17.0,a5,auditory,a5kk-dotabata.mp4,"noisily, with heavy feet",7,118922.2
18.0,13349143.0,condition-2,18.0,a1,auditory,a1kk-batyabatya.mp4,splashing,7,4655.039999999979
18.0,13349143.0,condition-2,19.0,v8,visual,v8hh-marumaru.mp4,"plump, rotund, chubby",7,4905.799999999988
18.0,13349143.0,condition-2,20.0,i7,interoceptive,i7kk-zokuzoku.mp4,"shivering, feeling chilly",7,12321.73999999999
18.0,13349143.0,condition-2,21.0,a0,auditory,a0hh-gosogoso.mp4,with a rustling sound,1,7422.460000000021
18.0,13349143.0,condition-2,22.0,i0,interoceptive,i0hh-uNzari.mp4,"boredom, tedious, fed up with",7,5471.140000000014
18.0,13349143.0,condition-2,23.0,v7,visual,v7kk-kiritto.mp4,"crisp appearance, stiffly",1,6354.820000000007
18.0,13349143.0,condition-2,24.0,a6,auditory,a6hh-dosari.mp4,with a thud,1,6638.099999999977
18.0,13349143.0,condition-2,25.0,i6,interoceptive,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner",1,233870.2
18.0,13349143.0,condition-2,26.0,i5,interoceptive,i5kk-harahara.mp4,"anxious, nervous",1,5273.020000000019
18.0,13349143.0,condition-2,27.0,v9,visual,v9kk-bosabosa.mp4,"ruffled, disheveled",7,5370.099999999977
